player_name,sg_total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,player id
"Nick Taylor",0.6,0.522,-0.278,0.528,-0.173,0.077,38
"J.T. Poston",0.587,0.304,0.336,-0.047,-0.006,0.283,39
"Davis Thompson",0.554,0.184,0.31,0.269,-0.208,0.37,40
"Corey Conners",0.553,-0.472,-0.187,0.798,0.413,1.025,41
"Kurt Kitayama",0.537,-0.213,-0.075,0.42,0.404,0.75,42
"Cameron Young",0.519,-0.182,-0.166,0.477,0.39,0.701,43
"Lucas Glover",0.503,-0.568,0.38,0.676,0.015,1.071,44
"Ben Silverman",0.5,0.287,0.216,-0.094,0.091,0.213,45
"Max Homa",0.469,0.103,0.243,0.19,-0.068,0.366,46
"Victor Perez",0.465,-0.295,-0.062,0.594,0.228,0.76,47
"Andrew Putnam",0.448,0.321,0.206,0.275,-0.355,0.127,48
"Bud Cauley",0.446,-0.315,0.078,0.489,0.194,0.761,49
"Jake Knapp",0.445,0.186,-0.039,0.561,-0.263,0.259,50
"Adam Schenk",0.426,0.23,0.174,-0.34,0.361,0.196,51
"Peter Malnati",0.418,0.759,0.024,0.013,-0.379,-0.341,52
"Max Greyserman",0.41,0.105,0.064,0.181,0.06,0.305,53
"Ben Martin",0.409,0.183,-0.311,0.568,-0.032,0.226,54
"Mackenzie Hughes",0.408,0.238,0.555,-0.284,-0.101,0.17,55
"Byeong Hun An",0.398,-0.249,0.016,0.177,0.454,0.647,56
"Hayden Springer",0.396,0.359,0.066,-0.344,0.315,0.036,57
"Patrick Cantlay",0.394,0.229,0.116,-0.135,0.183,0.165,58
"Taylor Moore",0.39,-0.13,0.29,0.052,0.178,0.52,59
"Brendon Todd",0.37,0.519,0.285,0.025,-0.459,-0.149,60
"Chandler Phillips",0.369,0.166,0.014,0.371,-0.183,0.203,61
"Joseph Bramlett",0.351,0.083,0.137,-0.094,0.226,0.268,62
"Beau Hossler",0.315,0.421,0.2,-0.344,0.039,-0.106,63
"C.T. Pan",0.312,0.075,0.243,0.176,-0.182,0.237,64
"Ryan Moore",0.3,-0.688,0.111,0.802,0.074,0.988,65
"Collin Morikawa",0.3,-0.312,0.288,-0.021,0.345,0.612,66
"Will Zalatoris",0.29,-0.397,-0.151,0.694,0.144,0.687,67
"Tyson Alexander",0.289,0.326,0.151,0.134,-0.322,-0.037,68
"Ben Griffin",0.281,0.306,0.394,-0.154,-0.265,-0.025,69
"Chan Kim",0.274,-0.16,0.069,0.205,0.16,0.434,70
"Taylor Montgomery",0.273,0.986,0.186,-0.29,-0.61,-0.713,71
"Parker Coody",0.244,-0.128,-0.033,0.417,-0.012,0.373,72
"Justin Lower",0.239,0.102,-0.064,0.346,-0.145,0.137,73
"Mac Meissner",0.231,0.022,0.339,0.086,-0.217,0.209,74
"Emiliano Grillo",0.229,0.501,-0.471,0.066,0.133,-0.272,75
"Jorge Campillo",0.226,-0.063,0.412,0.011,-0.134,0.289,76
"Sami Valimaki",0.206,0.203,-0.268,-0.03,0.3,0.003,77
"K.H. Lee",0.201,0.095,0.235,-0.259,0.129,0.106,78
"S.H. Kim",0.194,0.424,0.442,-0.303,-0.369,-0.23,79
"Dylan Wu",0.182,-0.01,0.13,0.337,-0.274,0.193,80
